number,val_loss,train_loss,alpha,dropout,layer_size,lr,num_layers,optimizer,duration_sec,mae,r2,seed,duration
7,2.9787165658490267e-06,5.561625584959984e-06,0.0,0.0,803,0.0004266375887011592,29,AdamW,3.172260046005249,0.0014219207223504782,-0.9641631841659546,15557,0 days 00:00:03.175319
50,3.2198763619817328e-06,4.057368641952053e-06,0.0,0.0,836,0.0009942246480879862,8,AdamW,0.570793628692627,0.0014054060447961092,-1.1231839656829834,15557,0 days 00:00:00.571812
14,3.96734276364441e-06,3.029542767762905e-06,0.0,0.0,464,1.9815366535597666e-05,8,AdamW,0.5942425727844238,0.001729727373458445,-1.6160621643066406,15557,0 days 00:00:00.595402
9,3.985489456681535e-06,6.9164939304755535e-06,0.0,0.0,646,0.0009476620009167991,14,AdamW,0.8486831188201904,0.0016803261823952198,-1.6280286312103271,15557,0 days 00:00:00.849909
42,4.098157205589814e-06,7.619533789693378e-06,0.0,0.0,930,0.0006597867789520335,14,AdamW,1.3917315006256104,0.0017859532963484526,-1.7023210525512695,15557,0 days 00:00:01.395999
69,4.118353899684735e-06,9.119567948800977e-06,0.0,0.0,574,0.00033393075481495866,13,AdamW,0.6374828815460205,0.0017906991997733712,-1.7156391143798828,15557,0 days 00:00:00.638685
6,5.721203706343658e-06,8.108766451186966e-06,0.0,0.0,631,7.335848094547889e-05,13,AdamW,0.7870180606842041,0.00210240064188838,-2.772556781768799,15557,0 days 00:00:00.788292
78,5.742233497585403e-06,1.8001543139689602e-05,0.0,0.0,913,0.00021581857146034131,16,AdamW,0.9847667217254639,0.0021292325109243393,-2.786423921585083,15557,0 days 00:00:00.986857
8,5.827565473737195e-06,1.244266786670778e-05,0.0,0.0,691,6.351575135826271e-05,15,AdamW,0.6864795684814453,0.0021450098138302565,-2.8426918983459473,15557,0 days 00:00:00.687779
23,5.854969003848964e-06,5.599706809356064e-10,0.0,0.0,318,3.525475268159161e-05,5,AdamW,0.5494234561920166,0.0019740499556064606,-2.860762119293213,15557,0 days 00:00:00.549525
117,6.106848104536766e-06,8.675205208419356e-06,0.0,0.0,827,0.0006354369091933821,22,AdamW,1.4872410297393799,0.0021956453565508127,-3.026850700378418,15557,0 days 00:00:01.491436
0,6.173173005663557e-06,6.912098342581885e-06,0.0,0.0,633,0.0001741196674125802,22,AdamW,0.6898293495178223,0.002207438927143812,-3.070584774017334,15557,0 days 00:00:00.691138
30,6.425066203519236e-06,1.1706756595231127e-05,0.0,0.0,590,2.7071604785927714e-05,24,AdamW,0.8018050193786621,0.0022472881246358156,-3.2366833686828613,15557,0 days 00:00:00.803339
2,7.05402499079355e-06,9.918675459630322e-06,0.0,0.0,809,2.0818252476201796e-06,12,AdamW,5.36953067779541,0.0023743549827486277,-3.6514177322387695,15557,0 days 00:00:05.371566
